fid,VALUE,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,layer,path,SAMPLE_TWI1,SAMPLE_SPI1,SAMPLE_slope1,SAMPLE_aspect1,SAMPLE_flow1,SAMPLE_road1,SAMPLE_river1,SAMPLE_LC1,SAMPLE_LC1_2,x,y,SAMPLE_rainfall1,SAMPLE_rainfall2
68,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401892.664634831,,,,,77899.0625,15.2160863876343,347.275634765625,5119.52001953125,5416.3916015625,421.070037841797,4,321.060455322266,401892.664634831,3002532.69237965,321.060455322266,255
69,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404959.767139561,,,,7.28128290176392,58988.92578125,23.0447101593018,174.805572509766,2559.76000976562,8846.337890625,426.380096435547,4,314.380187988281,404959.767139561,3004080.84888136,314.380187988281,255
70,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385534.784609609,,,,8.56161689758301,48787.140625,28.5888957977295,223.090850830078,1706.50659179688,5778.0966796875,84.8528137207031,4,356.539855957031,385534.78460961,3003934.79638119,356.539855957031,255
71,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393918.198122536,,,,,62407.05078125,24.3800392150879,280.885528564453,2559.76000976562,1234.38244628906,816.088256835938,4,340.247467041016,393918.198122536,3004343.74338165,340.247467041016,255
72,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354045.865561057,,,,9.26097583770752,37800.78125,22.150972366333,140.117309570312,1706.50659179688,6428.82568359375,745.1845703125,7,304.699645996094,354045.865561057,3061625.53394516,304.699645996094,255
73,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352760.603559075,,,,9.35376453399658,10784.40625,12.6391611099243,48.0940589904785,853.253295898438,9286.0537109375,1266.05688476562,4,322.556457519531,352760.603559076,3064196.05794799,322.556457519531,255
74,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361786.648072993,,,,10.2043218612671,343170.4375,10.3125791549683,41.1859245300293,33276.87890625,8828.7705078125,450,11,307.818603515625,361786.648072993,3063582.63744731,307.818603515625,255
75,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362662.963074344,,,,6.6604175567627,22151.650390625,25.9614009857178,257.307312011719,853.253295898438,9627.4296875,882.326477050781,4,313.146362304688,362662.963074344,3063962.37394773,313.146362304688,255
76,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400724.24463303,,,,8.03056907653809,1775.07495117188,0.693453669548035,135,2559.76000976562,3609.98608398438,201.246109008789,7,320.364990234375,400724.24463303,2996836.64487338,320.364990234375,255
77,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390646.622117491,,,,7.11864852905273,3195.65869140625,3.74526381492615,191.309936523438,853.253295898438,4412.75439453125,323.109893798828,4,342.021942138672,390646.622117491,2998092.69637476,342.021942138672,255
